course_id,title,organization
1,Google Cybersecurity,Google
2,Google Data Analytics,Google
3,Google Project Management:,Google
4,Google Digital Marketing & E-commerce,Google
5,Google IT Support,Google
6,Machine Learning,Multiple educators
7,Google UX Design,Google
8,Google AI Essentials,Google
9,IBM Data Science,IBM
10,Deep Learning,DeepLearning.AI
11,IBM Data Analyst,IBM
12,IBM Generative AI Engineering,IBM
13,IBM AI Developer,IBM
14,Data Science Foundations,Multiple educators
15,IBM Full Stack Software Developer,IBM
16,IBM DevOps and Software Engineering,IBM
17,Microsoft Power BI Data Analyst,Microsoft
18,AI in Healthcare,Stanford University
19,AI For Everyone,DeepLearning.AI
20,Google Advanced Data Analytics,Google
21,Data Science Fundamentals with Python and SQL,IBM
22,IBM Back-End Development,IBM
23,Introduction to Data Science,IBM
24,Business Foundations,University of Pennsylvania
25,Applied Software Engineering Fundamentals,IBM
26,IBM Data Engineering,IBM
27,Applied Data Science,IBM
28,IBM AI Product Manager,IBM
29,Foundations of Project Management,Google
30,"Foundations: Data, Data, Everywhere",Google
31,Google Prompting Essentials,Google
32,Data Engineering Foundations,IBM
33,Key Technologies for Business,IBM
34,Foundations of Cybersecurity,Google
35,IBM Data Analytics with Excel and R,IBM
36,Supervised Machine Learning: Regression and Classification,DeepLearning.AI
37,Data Analysis and Visualization Foundations,IBM
38,Meta Front-End Developer,Meta
39,IBM & Darden Digital Strategy,University of Virginia Darden School Foundation
40,Python for Everybody,University of Michigan
41,Introduction to Finance and Accounting,University of Pennsylvania
42,IBM AI Foundations for Business,IBM
43,Finance & Quantitative Modeling for Analysts,University of Pennsylvania
44,Google IT Automation with Python,Google
45,AI Foundations for Everyone,IBM
46,IBM Full-Stack JavaScript Developer,IBM
47,Meta Social Media Marketing,Meta
48,AI For Business,University of Pennsylvania
49,Generative AI for Software Development,DeepLearning.AI
50,IBM Back-end JavaScript Developer,IBM
51,Generative AI with Large Language Models,DeepLearning.AI
52,Technical Support Fundamentals,Google
53,IBM AI Engineering,IBM
54,IBM Front-End Developer,IBM
55,IBM iOS and Android Mobile App Developer,IBM
56,IBM Data Management,IBM
57,IBM IT Project Manager,IBM
58,IBM and ISC2 Cybersecurity Specialist,Multiple educators
59,Foundations of Digital Marketing and E-commerce,Google
60,Mathematics for Machine Learning and Data Science,DeepLearning.AI
61,DeepLearning.AI Data Engineering,Multiple educators
62,Business and Financial Modeling,University of Pennsylvania
63,Generative AI for Everyone,DeepLearning.AI
64,IBM Business Intelligence (BI) Analyst,IBM
65,IBM IT Scrum Master,IBM
66,IBM Business Analyst,IBM
67,Generative AI for Data Scientists,IBM
68,Generative AI for Product Managers,IBM
69,Generative AI for Data Analysts,IBM
70,Meta React Native,Meta
71,Generative AI Fundamentals,IBM
72,Intuit Academy Bookkeeping,Intuit
73,Generative AI for Software Developers,IBM
74,Financial Markets,Yale University
75,IBM Generative AI for Cybersecurity Professionals,IBM
76,Generative AI for Human Resources (HR) Professionals,IBM
77,Introduction to Generative AI Learning Path,Google Cloud
78,Generative AI for Project Managers,IBM
79,Play It Safe: Manage Security Risks,Google
80,Generative AI for Data Engineers,IBM
81,Generative AI for Business Intelligence (BI) Analysts,IBM
82,Generative AI Automation,Vanderbilt University
83,Prompt Engineering,Vanderbilt University
84,AI Python for Beginners,DeepLearning.AI
85,Ask Questions to Make Data-Driven Decisions,Google
86,Project Initiation: Starting a Successful Project,Google
87,SAP Technology Consultant,SAP
88,ChatGPT: Master Free AI Tools to Supercharge Productivity,Vanderbilt University
89,Generative AI Assistants,Vanderbilt University
90,Indigenous Canada,University of Alberta
91,Agentic AI and AI Agents for Leaders,Vanderbilt University
92,Generative AI Leadership & Strategy,Vanderbilt University
93,"ChatGPT: Excel at Personal Automation with GPTs, AI & Zapier",Vanderbilt University
94,Prompt Engineering for Law,Vanderbilt University
95,Meta Android Developer,Meta
96,ChatGPT + Excel: AI-Enhanced Data Analysis & Insight,Vanderbilt University
97,Foundations of User Experience (UX) Design,Google
98,Business Analytics,University of Pennsylvania
99,Prompt Engineering for Educators,Vanderbilt University
100,IBM Product Manager,IBM
101,Meta iOS Developer,Meta
102,ChatGPT for Project Management - Leveraging AI for Success,Vanderbilt University
103,Foundations of Positive Psychology,University of Pennsylvania
104,Meta Back-End Developer,Meta
105,DeepLearning.AI TensorFlow Developer,DeepLearning.AI
106,ChatGPT + Zapier: AI-Powered Email Mastery,Vanderbilt University
107,Natural Language Processing,DeepLearning.AI
108,Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania
109,Master Microsoft Office 365 and Power Platform,Microsoft
110,IBM IT Support,IBM
111,Arizona State University TESOL,Arizona State University
112,IBM Cybersecurity Analyst,IBM
113,Google Business Intelligence,Google
114,HRCI Human Resource Associate,HRCI
115,Information Technology (IT) and Cloud Fundamentals,IBM
116,Microsoft 365 Fundamentals,Microsoft
117,"BI Foundations with SQL, ETL and Data Warehousing",IBM
118,Advanced Learning Algorithms,DeepLearning.AI
119,"DevOps, Cloud, and Agile Foundations",IBM
120,Connect and Protect: Networks and Network Security,Google
121,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing
122,Microsoft Business Analyst,Microsoft
123,IBM Data Warehouse Engineer,IBM
124,Meta Database Engineer,Meta
125,Business Strategy,University of Virginia
126,Generative AI Engineering with LLMs,IBM
127,Cloud Application Development Foundations,IBM
128,Neural Networks and Deep Learning,DeepLearning.AI
129,The Bits and Bytes of Computer Networking,Google
130,Data Analysis and Presentation Skills: the PwC Approach,PwC
131,IBM Project Manager,IBM
132,IBM Applied DevOps Engineering,IBM
133,Leading the Modern Day Business,University of Virginia
134,Prepare Data for Exploration,Google
135,Digital Product Management,University of Virginia
136,The Materiality of ESG Factors,University of Pennsylvania
137,"TESOL Certificate, Part 1: Teach English Now!",Arizona State University
138,Regulatory Compliance,University of Pennsylvania
139,Introduction to Psychology,Yale University
140,Digital Marketing,University of Illinois Urbana-Champaign
141,Project Planning: Putting It All Together,Google
142,Introduction to Statistics,Stanford University
143,Attract and Engage Customers with Digital Marketing,Google
144,Excel Skills for Business,Macquarie University
145,Microsoft Cloud Support Associate,Microsoft
146,Certified in Cybersecurity,ISC2
147,Microsoft IT Support Specialist,Microsoft
148,Entrepreneurship,University of Pennsylvania
149,Meta Marketing Analytics,Meta
150,Introduction to Programming with Python and Java,University of Pennsylvania
151,Microsoft Project Management,Microsoft
152,Tools of the Trade: Linux and SQL,Google
153,Improve Your English Communication Skills,Georgia Institute of Technology
154,"IBM Deep Learning with PyTorch, Keras and Tensorflow",IBM
155,Preparing for Google Cloud Certification: Machine Learning Engineer,Google Cloud
156,Writing in the Sciences,Stanford University
157,Cybersecurity Fundamentals,IBM
158,Preparing for Google Cloud Certification: Cloud Engineer,Google Cloud
159,Preparing for Google Cloud Certification: Cloud Architect,Google Cloud
160,Process Data from Dirty to Clean,Google
161,Agile Project Management,Google
162,"Start the UX Design Process: Empathize, Define, and Ideate",Google
163,Architecting with Google Compute Engine,Google Cloud
164,Google Cloud Cybersecurity,Google Cloud
165,Preparing for Google Cloud Certification: Cloud Developer,Google Cloud
166,IBM Machine Learning,IBM
167,The Science of Well-Being,Yale University
168,Construction Management,Columbia University
169,Google Cloud Database Engineer,Google Cloud
170,Graphic Design,California Institute of the Arts
171,ADP Entry-Level Payroll Specialist,"Automatic Data Processing, Inc. (ADP)"
172,Think like a CFO,IESE Business School
173,Project Execution: Running the Project,Google
174,Learn SQL Basics for Data Science,"University of California, Davis"
175,Preparing for Google Cloud Certification: Cloud DevOps Engineer,Google Cloud
176,Medical Billing and Coding Fundamentals,MedCerts
177,Microsoft Cybersecurity Analyst,Microsoft
178,Supply Chain Management,Rutgers the State University of New Jersey
179,Introduction to Healthcare,Stanford University
180,The Business of Health Care,University of Pennsylvania
181,AI in Education: Leveraging ChatGPT for Teaching,University of Pennsylvania
182,IBM Introduction to Machine Learning,IBM
183,Meta Data Analyst,Meta
184,"Unsupervised Learning, Recommenders, Reinforcement Learning",DeepLearning.AI
185,Search Engine Optimization (SEO),"University of California, Davis"
186,Human Resource Management: HR for People Managers,University of Minnesota
187,Algorithms,Stanford University
188,Adobe Content Creator,Adobe
189,AWS Fundamentals,Amazon Web Services
190,AWS Cloud Solutions Architect,Amazon Web Services
191,Workday Basics Series,Workday
192,Product Management Certification,SkillUp EdTech
193,Foundations of Management,IESE Business School
194,Preparing for Google Cloud Certification: Cloud Security Engineer,Google Cloud
195,Preparing for Google Cloud Certification: Cloud Network Engineer,Google Cloud
196,Analyze Data to Answer Questions,Google
197,Salesforce Sales Operations,Salesforce
198,Epic Games Game Design,Epic Games
199,Pharmacy Technician Fundamentals,MedCerts
200,Mathematics for Machine Learning,Imperial College London
201,"Assets, Threats, and Vulnerabilities",Google
202,Linear Algebra for Machine Learning and Data Science,DeepLearning.AI
203,Project Management,University of Colorado Boulder
204,AWS Cloud Support Associate,Amazon Web Services
205,Private Equity and Venture Capital,UniversitÃ  Bocconi
206,Introduction to Generative AI for Software Development,DeepLearning.AI
207,AWS Cloud Technology Consultant,Amazon Web Services
208,Intellectual Property Law,University of Pennsylvania
209,AI for Medicine,DeepLearning.AI
210,Networking in Google Cloud,Google Cloud
211,Capstone: Applying Project Management in the Real World,Google
212,Operating Systems and You: Becoming a Power User,Google
213,Financial Engineering and Risk Management,Columbia University
214,Genomic Data Science,Johns Hopkins University
215,Developing Applications with Google Cloud,Google Cloud
216,Google Cloud Digital Leader Training,Google Cloud
217,Security in Google Cloud,Google Cloud
218,Tableau Business Intelligence Analyst,Tableau Learning Partner
219,Microsoft Excel,Microsoft
220,Business Analytics with Excel: Elementary to Advanced,Johns Hopkins University
221,Data Analysis with R Programming,Google
222,"JavaScript Programming with React, Node & MongoDB",IBM
223,Mergers and Acquisitions,University of Illinois Urbana-Champaign
224,Leadership Skills,IIMA - IIM Ahmedabad
225,Artificial Intelligence in Marketing,University of Virginia
226,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",DeepLearning.AI
227,"TESOL Certificate, Part 2: Teach English Now!",Arizona State University
228,Getting started with Google Workspace,Google Cloud
229,Google Cloud Data Analytics,Google Cloud
230,IBM Program Manager,IBM
231,Strategic Leadership and Management,University of Illinois Urbana-Champaign
232,Entrepreneurship: Growing Your Business,University of Virginia
233,DevOps on AWS,Amazon Web Services
234,Share Data Through the Art of Visualization,Google
235,Self-Driving Cars,University of Toronto
236,Psychological First Aid,Johns Hopkins University
237,Python 3 Programming,University of Michigan
238,Preparing for Google Cloud Certification: Cloud Data Engineer,Google Cloud
239,"Python for Data Science, AI & Development",IBM
240,Stanford Introduction to Food and Health,Stanford University
241,Agile Development,University of Virginia
242,Machine Learning on Google Cloud,Google Cloud
243,"Influencing: Storytelling, Change Management and Governance",Macquarie University
244,Programming for Everybody (Getting Started with Python),University of Michigan
245,Crash Course on Python,Google
246,"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud
247,Machine Learning in Production,DeepLearning.AI
248,Prompt Engineering for ChatGPT,Vanderbilt University
249,Renew your CBRS Professional Installer certification,Google - Spectrum Sharing
250,From Likes to Leads: Interact with Customers Online,Google
251,Generative Adversarial Networks (GANs),DeepLearning.AI
252,Bookkeeping Basics,Intuit
253,Sound the Alarm: Detection and Response,Google
254,Introduction to Data Engineering,DeepLearning.AI
255,Google Data Analytics Capstone: Complete a Case Study,Google
256,System Administration and IT Infrastructure Services,Google
257,Google Marketing Digital e E-Commerce,Google
258,English for Career Development,University of Pennsylvania
259,AI Infrastructure and Operations Fundamentals,NVIDIA
260,Risk Management,New York Institute of Finance
261,Methods and Statistics in Social Sciences,University of Amsterdam
262,IBM Product Owner,IBM
263,Automate Cybersecurity Tasks with Python,Google
264,Amazon Junior Software Developer,Amazon
265,Management of Fashion and Luxury Companies,UniversitÃ  Bocconi
266,Data Structures and Algorithms,University of California San Diego
267,ISC2 Systems Security Certified Practitioner (SSCP),ISC2
