skill_name,skill_id
Network Security,1
Python Programming,2
Linux,3
Cloud Computing,4
Audit,5
Computer Programming,6
Computer Security Incident Management,7
Cryptography,8
Databases,9
Leadership and Management,10
Network Architecture,11
Risk Management,12
SQL,13
Data Analysis,14
R Programming,15
SQL,16
Spreadsheet Software,17
Business Analysis,18
Business Communication,19
Data Visualization,20
Data Management,21
General Statistics,22
Big Data,23
Communication,24
Data Science,25
Data Visualization Software,26
Exploratory Data Analysis,27
Extract,28
Transform,29
Load,30
Microsoft Excel,31
Problem Solving,32
Small Data,33
Statistical Programming,34
Tableau Software,35
Project Management,36
Strategy and Operations,37
Collaboration,38
Agile Software Development,39
Software Engineering,40
Entrepreneurship,41
Scrum (Software Development),42
Planning,43
Supply Chain and Logistics,44
Change Management,45
Finance,46
Organizational Development,47
Product Management,48
Budget Management,49
Influencing,50
Culture,51
Emotional Intelligence,52
People Management,53
Procurement,54
Digital Marketing,55
Marketing,56
Marketing Management,57
Media Strategy & Planning,58
Sales,59
E-Commerce,60
Data Analysis,61
Social Media,62
Search Engine Optimization,63
Advertising,64
Persona Research,65
Strategy,66
Web Design,67
Web Development,68
Web Development Tools,69
Writing,70
Market Analysis,71
Computer Networking,72
Network Analysis,73
Networking Hardware,74
Network Model,75
Critical Thinking,76
Computer Architecture,77
Network Security,78
Accounting,79
Operating Systems,80
System Security,81
Customer Support,82
Machine Learning,83
Machine Learning Algorithms,84
Applied Machine Learning,85
Algorithms,86
Deep Learning,87
Machine Learning Software,88
Artificial Neural Networks,89
Human Learning,90
Statistical Machine Learning,91
Regression,92
Mathematics,93
Tensorflow,94
Reinforcement Learning,95
User Experience,96
User Experience Design,97
User Research,98
Human Computer Interaction,99
Product Design,100
Product Development,101
Visual Design,102
Web Development Tools,103
Critical Thinking,104
Python Programming,105
Machine Learning,106
Professional Development,107
Data Mining,108
Data Model,109
IBM Cloud,110
Plot (Graphics),111
Probability & Statistics,112
Writing,113
Computer Vision,114
Natural Language Processing,115
